source_row,fiscal_year,quarter,project_type,service_group,project_name,target_participants,applicants,actual_participants,passed,revenue,expense,reported_profit,satisfaction,unit
2,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,39.0,39.0,38.0,37440.0,31466.0,5974.0,4.66,ศูนย์ CAAS
3,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,48.0,48.0,42.0,44160.0,33294.0,10866.0,4.86,ศูนย์ CAAS
4,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,58.0,57600.0,36920.0,20680.0,4.83,ศูนย์ CAAS
5,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,64.0,64.0,62.0,59520.0,38228.0,21292.0,4.73,ศูนย์ CAAS
6,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,57.0,54720.0,36488.0,18232.0,4.67,ศูนย์ CAAS
7,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,60.0,60.0,60.0,57600.0,37460.0,20140.0,4.45,ศูนย์ CAAS
8,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,58.0,58.0,37.0,37440.0,32936.0,4504.0,4.63,ศูนย์ CAAS
9,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,49.0,46080.0,34736.0,11344.0,4.57,ศูนย์ CAAS
10,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,58.0,58560.0,39520.0,19040.0,4.63,ศูนย์ CAAS
11,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,45.0,45.0,43.0,41280.0,34061.0,7219.0,4.68,ศูนย์ CAAS
12,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,57.0,57.0,54.0,54720.0,38639.0,16081.0,4.75,ศูนย์ CAAS
13,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,60.0,58560.0,39947.0,18613.0,4.74,ศูนย์ CAAS
14,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,60.0,57600.0,39260.0,18340.0,4.76,ศูนย์ CAAS
15,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,57.0,59520.0,40088.0,19432.0,4.71,ศูนย์ CAAS
16,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,60.0,60.0,58.0,55680.0,38472.0,17208.0,4.37,ศูนย์ CAAS
17,2568,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,61.0,59520.0,40448.0,19072.0,4.56,ศูนย์ CAAS
18,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,41.0,41.0,39.0,39360.0,32997.0,6363.0,4.68,ศูนย์ CAAS
19,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,51.0,51.0,50.0,48960.0,35994.0,12966.0,4.67,ศูนย์ CAAS
20,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,62.0,62.0,60.0,59520.0,39654.0,19866.0,4.59,ศูนย์ CAAS
21,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,44.0,44.0,40.0,42240.0,33948.0,8292.0,4.62,ศูนย์ CAAS
22,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,55.0,55.0,45.0,52800.0,37435.0,15365.0,4.51,ศูนย์ CAAS
23,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,61.0,58560.0,39337.0,19223.0,4.64,ศูนย์ CAAS
24,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,43.0,43.0,41.0,38400.0,31840.0,6560.0,4.86,ศูนย์ CAAS
25,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,55.0,55.0,50.0,42240.0,34212.0,8028.0,4.76,ศูนย์ CAAS
26,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,55.0,56640.0,39836.0,16804.0,4.48,ศูนย์ CAAS
27,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,60.0,60.0,57.0,55680.0,39125.0,16555.0,4.65,ศูนย์ CAAS
28,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,53.0,56640.0,39152.0,17488.0,4.61,ศูนย์ CAAS
29,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,65.0,65.0,61.0,62400.0,39917.0,22483.0,4.7,ศูนย์ CAAS
30,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,50.0,50.0,45.0,44160.0,35180.0,8980.0,4.72,ศูนย์ CAAS
31,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,65.0,65.0,62.0,56640.0,39156.0,17484.0,4.58,ศูนย์ CAAS
32,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,66.0,66.0,58.0,53760.0,38666.0,15094.0,4.58,ศูนย์ CAAS
33,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,55.0,56640.0,38705.0,17935.0,4.68,ศูนย์ CAAS
34,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,62.0,62.0,61.0,58560.0,39630.0,18930.0,4.63,ศูนย์ CAAS
35,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,66.0,66.0,64.0,62400.0,40626.0,21774.0,4.59,ศูนย์ CAAS
36,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,68.0,68.0,62.0,59520.0,39620.0,19900.0,4.38,ศูนย์ CAAS
37,2568,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,53.0,53.0,50.0,50880.0,38006.0,12874.0,4.52,ศูนย์ CAAS
38,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,40.0,40.0,37.0,38400.0,33856.0,4544.0,0.0,ศูนย์ CAAS
39,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,38.0,38.0,38.0,36480.0,31778.0,4702.0,4.76,ศูนย์ CAAS
40,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,43.0,43.0,32.0,38400.0,33033.0,5367.0,4.54,ศูนย์ CAAS
41,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,68.0,68.0,59.0,57600.0,39178.0,18422.0,4.61,ศูนย์ CAAS
42,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,46.0,46.0,44.0,42240.0,33537.0,8703.0,4.74,ศูนย์ CAAS
43,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,72.0,72.0,71.0,67200.0,40862.0,26338.0,4.72,ศูนย์ CAAS
44,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,76.0,76.0,69.0,71040.0,41440.0,29600.0,0.0,ศูนย์ CAAS
45,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,35.0,35.0,34.0,33600.0,31914.0,1686.0,4.53,ศูนย์ CAAS
46,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,74.0,74.0,70.0,67200.0,41872.0,25328.0,4.72,ศูนย์ CAAS
47,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,66.0,66.0,66.0,60480.0,40112.0,20368.0,4.89,ศูนย์ CAAS
48,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,40.0,40.0,40.0,38400.0,33940.0,4460.0,0.0,ศูนย์ CAAS
49,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,66.0,66.0,61.0,56640.0,39586.0,17054.0,4.59,ศูนย์ CAAS
50,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,43.0,43.0,35.0,38400.0,33048.0,5352.0,4.58,ศูนย์ CAAS
51,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,44.0,44.0,43.0,41280.0,34195.0,7085.0,4.6,ศูนย์ CAAS
52,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,45.0,45.0,44.0,40320.0,34096.0,6224.0,4.79,ศูนย์ CAAS
53,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,46.0,46.0,39.0,40320.0,34096.0,6224.0,4.59,ศูนย์ CAAS
54,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,40.0,40.0,40.0,38400.0,33956.0,4444.0,0.0,ศูนย์ CAAS
55,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,45.0,45.0,40.0,41280.0,33945.0,7335.0,4.64,ศูนย์ CAAS
56,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,45.0,45.0,37.0,35520.0,33231.0,2289.0,4.65,ศูนย์ CAAS
57,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,45.0,45.0,44.0,41280.0,33936.0,7344.0,4.85,ศูนย์ CAAS
58,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,69.0,69.0,68.0,64320.0,41705.0,22615.0,4.65,ศูนย์ CAAS
59,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,71.0,71.0,64.0,68160.0,42386.0,25774.0,4.6,ศูนย์ CAAS
60,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,68.0,68.0,68.0,63360.0,40812.0,22548.0,4.86,ศูนย์ CAAS
61,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,46.0,46.0,41.0,38400.0,33624.0,4776.0,4.6,ศูนย์ CAAS
62,2568,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,70.0,70.0,65.0,60480.0,40400.0,20080.0,4.45,ศูนย์ CAAS
63,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,58.0,58.0,58.0,55680.0,38772.0,16908.0,4.76,ศูนย์ CAAS
64,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,61.0,58560.0,39765.0,18795.0,4.81,ศูนย์ CAAS
65,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,55.0,55680.0,38788.0,16892.0,4.74,ศูนย์ CAAS
66,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,68.0,68.0,66.0,65280.0,42015.0,23265.0,4.82,ศูนย์ CAAS
67,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,44.0,44.0,40.0,42240.0,34245.0,7995.0,4.83,ศูนย์ CAAS
68,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,59.0,55680.0,38753.0,16927.0,4.58,ศูนย์ CAAS
69,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,56.0,54720.0,38458.0,16262.0,4.68,ศูนย์ CAAS
70,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,69.0,69.0,63.0,59520.0,40046.0,19474.0,4.43,ศูนย์ CAAS
71,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,43.0,43.0,38.0,38400.0,32948.0,5452.0,4.81,ศูนย์ CAAS
72,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,61.0,56640.0,39115.0,17525.0,4.77,ศูนย์ CAAS
73,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,58.0,58.0,52.0,56640.0,39085.0,17555.0,4.75,ศูนย์ CAAS
74,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,65.0,65.0,58.0,56640.0,37104.0,19536.0,4.81,ศูนย์ CAAS
75,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,83.0,83.0,77.0,59520.0,39783.0,19737.0,4.74,ศูนย์ CAAS
76,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,62.0,62.0,59.0,59520.0,39522.0,19998.0,4.71,ศูนย์ CAAS
77,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,64.0,64.0,57.0,48960.0,36694.0,12266.0,4.51,ศูนย์ CAAS
78,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,65.0,65.0,63.0,56640.0,39319.0,17321.0,4.69,ศูนย์ CAAS
79,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,44.0,44.0,38.0,46080.0,35523.0,10557.0,4.76,ศูนย์ CAAS
80,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,59.0,58560.0,39225.0,19335.0,4.61,ศูนย์ CAAS
81,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,56.0,57600.0,39027.0,18573.0,4.7,ศูนย์ CAAS
82,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,70.0,70.0,67.0,58560.0,39484.0,19076.0,4.6,ศูนย์ CAAS
83,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,67.0,67.0,66.0,65280.0,41169.0,24111.0,4.64,ศูนย์ CAAS
84,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,50.0,50.0,42.0,48000.0,36244.0,11756.0,4.68,ศูนย์ CAAS
85,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,65.0,65.0,62.0,59520.0,39490.0,20030.0,4.84,ศูนย์ CAAS
86,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,74.0,74.0,67.0,52800.0,36849.0,15951.0,4.62,ศูนย์ CAAS
87,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,44.0,44.0,43.0,46080.0,35516.0,10564.0,4.82,ศูนย์ CAAS
88,2568,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,58.0,56640.0,44146.0,12494.0,4.78,ศูนย์ CAAS
89,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,58.0,58.0,57.0,53760.0,35344.0,18416.0,4.69,ศูนย์ CAAS
90,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,54.0,54.0,43.0,50880.0,37488.0,13392.0,4.64,ศูนย์ CAAS
91,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,54.0,54.0,47.0,51840.0,37280.0,14560.0,4.62,ศูนย์ CAAS
92,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,69.0,69.0,59.0,63360.0,41120.0,22240.0,4.38,ศูนย์ CAAS
93,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,70.0,70.0,67.0,61440.0,40480.0,20960.0,4.47,ศูนย์ CAAS
94,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,56.0,56.0,46.0,52800.0,37600.0,15200.0,4.51,ศูนย์ CAAS
95,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,56.0,56.0,52.0,50880.0,37208.0,13672.0,4.66,ศูนย์ CAAS
96,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,61.0,61.0,57.0,58560.0,38018.0,20542.0,4.57,ศูนย์ CAAS
97,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,66.0,66.0,64.0,63360.0,40790.0,22570.0,4.62,ศูนย์ CAAS
98,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,65.0,65.0,62.0,62400.0,40304.0,22096.0,4.48,ศูนย์ CAAS
99,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,57.0,57.0,52.0,54720.0,37613.0,17107.0,4.65,ศูนย์ CAAS
100,2567,1.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,70.0,70.0,64.0,55680.0,38270.0,17410.0,4.59,ศูนย์ CAAS
101,2567,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,55.0,55.0,50.0,50880.0,37460.0,13420.0,4.53,ศูนย์ CAAS
102,2567,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,46.0,46.0,41.0,44160.0,35178.0,8982.0,4.63,ศูนย์ CAAS
103,2567,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,54.0,55680.0,38726.0,16954.0,4.62,ศูนย์ CAAS
104,2567,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,53.0,53.0,45.0,50880.0,37082.0,13798.0,4.35,ศูนย์ CAAS
105,2567,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,51.0,51.0,48.0,48960.0,37085.0,11875.0,4.54,ศูนย์ CAAS
106,2567,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,59.0,59.0,57.0,56640.0,39155.0,17485.0,4.54,ศูนย์ CAAS
107,2567,2.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,57.0,57.0,55.0,54720.0,38867.0,15853.0,4.6,ศูนย์ CAAS
108,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,62.0,62.0,58.0,58560.0,39758.0,18802.0,4.74,ศูนย์ CAAS
109,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,64.0,64.0,53.0,54720.0,38810.0,15910.0,4.69,ศูนย์ CAAS
110,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,54.0,51840.0,35876.0,15964.0,4.51,ศูนย์ CAAS
111,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,43.0,43.0,40.0,40320.0,32726.0,7594.0,4.7,ศูนย์ CAAS
112,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,42.0,42.0,40.0,40320.0,34196.0,6124.0,4.61,ศูนย์ CAAS
113,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,45.0,45.0,41.0,42240.0,34358.0,7882.0,4.79,ศูนย์ CAAS
114,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,63.0,63.0,58.0,53760.0,37808.0,15952.0,4.67,ศูนย์ CAAS
115,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,62.0,62.0,56.0,52800.0,38504.0,14296.0,4.48,ศูนย์ CAAS
116,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,58.0,58.0,56.0,53760.0,39724.0,14036.0,4.66,ศูนย์ CAAS
117,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,57.0,57.0,52.0,54720.0,39854.0,14866.0,4.67,ศูนย์ CAAS
118,2567,3.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,52.0,52.0,51.0,39360.0,33530.0,5830.0,4.69,ศูนย์ CAAS
119,2567,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,69.0,69.0,59.0,49920.0,36952.0,12968.0,4.36,ศูนย์ CAAS
120,2567,4.0,Intensive,บุคคลทั่วไป,โครงการอบรมภาษาอังกฤษเข้มข้น (Intensive English Courses for Undergraduate Students),60.0,65.0,65.0,56.0,51840.0,37786.0,14054.0,4.48,ศูนย์ CAAS
